SYSTEMATIC.name	Gene.proteins.secondaryIdentifier	PROTEINS.molecular_weight	PROTEINS.pI	PROTEINS.gravy_score	PROTEINS.aromaticity_score	PROTEINS.cai	PROTEINS.instability_index	PROTEINS.aliphatic_index
YDL176W	YDL176W	81459.7	6.66	-0.34	0.11	0.11	39.09	75.87
YDL177C	YDL177C	19072.3	10.59	-0.61	0.05	0.14	57.22	75.03
YDL178W	YDL178W	59259.9	6.01	-0.3	0.09	0.19	42.64	86.5
YDL179W	YDL179W	34809.4	10.14	-0.37	0.08	0.12	53.76	86.02
YDL180W	YDL180W	62271.3	5.13	-0.02	0.12	0.11	37.14	90.7
YDL181W	YDL181W	9876.4	10.79	-1.11	0.06	0.13	62.41	57.01
YDL182W	YDL182W	47098.4	7.29	-0.18	0.07	0.32	32.73	90.81
YDL183C	YDL183C	37067.7	10.14	-0.41	0.09	0.1	43.41	94.92
YDL184C	YDL184C	3354.4	13.46	-2.45	0.04	0.42	102.31	25.96
YDL185C-A	YDL185C-A	9344.1	10.7	0.08	0.24	0.14	39.1	76.87
YDL185W	YDL185W	118621.8	6.05	-0.29	0.09	0.3	32.81	79.99
YDL186W	YDL186W	32188.8	5.41	-0.94	0.1	0.12	72.98	50.99
YDL187C	YDL187C	12818.4	10.64	0.09	0.16	0.1	46.03	78.69
YDL188C	YDL188C	43017.3	4.41	-0.57	0.1	0.16	32.64	67.43
YDL189W	YDL189W	51959.7	8.22	-1.11	0.1	0.12	60.54	47.19
YDL190C	YDL190C	109896.5	5.54	-0.25	0.11	0.18	42.59	87.03
YDL191W	YDL191W	13932.9	11.29	-0.79	0.05	0.8	41.97	80.15
YDL192W	YDL192W	20529.7	7.51	-0.22	0.1	0.52	34.26	85.1
YDL193W	YDL193W	42555.4	6.95	-0.35	0.09	0.2	40.82	90.73
YDL194W	YDL194W	96698.6	5.04	-0.12	0.09	0.13	39.57	83.04
YDL195W	YDL195W	138693.4	5.45	-0.51	0.07	0.2	47.4	72.22
YDL196W	YDL196W	12913.2	9.8	-0.05	0.18	0.13	64.13	66.76
YDL197C	YDL197C	59358.2	9.48	-0.76	0.04	0.12	54.7	82.23
YDL198C	YDL198C	33234.9	10.66	-0.13	0.11	0.21	28.22	87.87
YDL199C	YDL199C	77513.1	9.36	0.08	0.12	0.1	40.16	98.27
YDL200C	YDL200C	21504.1	9.11	-0.33	0.1	0.13	31.93	85.4
YDL201W	YDL201W	33400.9	9.56	-0.69	0.1	0.19	36.79	68.28
YDL202W	YDL202W	28528.4	10.35	-0.54	0.08	0.12	37.09	77.91
YDL203C	YDL203C	69378.3	8.5	-0.54	0.1	0.12	42.13	68.31
YDL204W	YDL204W	44366.6	9.71	-0.62	0.07	0.18	34.19	75.8
YDL205C	YDL205C	36670.0	6.32	-0.28	0.06	0.18	43.86	93.45
YDL206W	YDL206W	85973.1	6.13	0.26	0.1	0.11	41.08	112.83
YDL207W	YDL207W	62083.0	9.48	-0.63	0.07	0.11	54.84	80.86
YDL208W	YDL208W	17135.3	10.45	-0.57	0.04	0.42	43.52	78.48
YDL209C	YDL209C	38433.0	8.11	-0.66	0.09	0.11	38.7	69.67
YDL210W	YDL210W	61871.5	6.64	0.47	0.12	0.22	36.27	102.81
YDL211C	YDL211C	40743.3	5.19	-0.31	0.08	0.11	49.87	76.61
YDL212W	YDL212W	23514.5	8.2	0.07	0.11	0.24	33.72	91.66
YDL213C	YDL213C	25238.4	10.87	-1.23	0.03	0.19	33.64	62.3
YDL214C	YDL214C	78932.6	6.69	-0.47	0.09	0.13	50.36	75.68
YDL215C	YDL215C	124306.9	5.46	-0.3	0.11	0.21	34.1	88.86
YDL216C	YDL216C	50800.4	5.39	-0.71	0.08	0.11	49.72	69.87
YDL217C	YDL217C	21863.2	5.93	-0.08	0.1	0.1	36.01	65.36
YDL218W	YDL218W	34452.1	8.1	-0.18	0.1	0.14	31.61	72.4
YDL219W	YDL219W	16745.7	7.6	-0.18	0.05	0.2	38.31	98.28
YDL220C	YDL220C	104895.2	6.55	-0.39	0.09	0.1	48.47	80.23
YDL221W	YDL221W	20268.7	8.71	0.13	0.13	0.08	63.62	73.12
YDL222C	YDL222C	34146.5	9.74	0.07	0.15	0.11	34.26	75.47
YDL223C	YDL223C	113589.7	6.35	-1.27	0.06	0.19	42.76	35.16
YDL224C	YDL224C	70686.1	6.96	-0.57	0.07	0.12	56.71	69.39
YDL225W	YDL225W	62616.6	5.2	-0.74	0.07	0.19	42.65	73.88
YDL226C	YDL226C	39289.7	5.72	-0.92	0.09	0.15	44.58	47.75
YDL227C	YDL227C	66118.3	9.56	-0.47	0.08	0.12	42.14	73.79
YDL228C	YDL228C	24155.8	5.14	-0.23	0.14	0.24	53.09	74.7
YDL229W	YDL229W	66590.2	5.08	-0.24	0.06	0.82	36.03	85.63
YDL230W	YDL230W	38870.7	8.21	-0.53	0.1	0.12	39.13	71.53
YDL231C	YDL231C	129750.6	9.29	-0.16	0.12	0.14	43.44	85.94
YDL232W	YDL232W	3982.7	4.36	0.66	0.06	0.46	38.84	113.87
YDL233W	YDL233W	51324.0	8.83	-0.39	0.1	0.12	46.93	68.12
YDL234C	YDL234C	87277.4	4.78	-0.48	0.11	0.15	45.92	79.74
YDL235C	YDL235C	19157.8	4.33	-0.35	0.07	0.2	30.66	99.61
YDL236W	YDL236W	34622.9	6.29	-0.18	0.11	0.2	34.45	85.79
YDL237W	YDL237W	44370.9	5.28	-0.21	0.11	0.15	34.68	90.62
YDL238C	YDL238C	55192.1	5.9	-0.34	0.09	0.13	31.99	80.03
YDL239C	YDL239C	91819.2	8.95	-0.83	0.07	0.13	55.16	79.18
YDL240C-A	YDL240C-A	5643.6	8.92	0.13	0.27	0.16	29.99	75.27
YDL240W	YDL240W	116665.7	8.32	-0.36	0.09	0.14	43.21	81.58
YDL241W	YDL241W	13494.3	7.38	-0.18	0.14	0.1	34.07	61.18
YDL242W	YDL242W	13258.6	8.92	-0.23	0.03	0.13	59.89	100.54
YDL243C	YDL243C	36974.4	6.8	-0.36	0.1	0.16	42.82	75.81
YDL244W	YDL244W	38577.1	8.06	-0.31	0.11	0.53	34.52	80.01
YDL245C	YDL245C	62937.0	8.17	0.36	0.14	0.16	34.57	92.03
YDL246C	YDL246C	38093.9	6.71	-0.01	0.09	0.21	25.63	83.6
YDL247W	YDL247W	68201.9	8.64	0.13	0.13	0.12	40.4	88.38
YDL247W-A	YDL247W-A	2929.3	6.5	-0.71	0.08	0.05	64.35	75.33
YDL248W	YDL248W	45688.1	8.78	-0.02	0.16	0.15	40.3	85.88
YDR001C	YDR001C	85881.1	7.88	-0.54	0.12	0.17	38.94	68.35
YDR002W	YDR002W	22950.2	5.89	-0.99	0.08	0.49	43.98	49.76
YDR003W	YDR003W	24205.0	4.96	-0.74	0.11	0.1	65.36	60.64
YDR003W-A	YDR003W-A	4845.6	9.14	-0.7	0.2	0.13	35.56	43.83
YDR004W	YDR004W	52244.0	6.61	-0.36	0.09	0.1	46.51	87.4
YDR005C	YDR005C	44724.3	4.89	-0.86	0.1	0.12	53.8	60.91
YDR006C	YDR006C	101100.6	9.55	-0.56	0.07	0.15	53.53	79.45
YDR007W	YDR007W	24139.7	5.08	-0.08	0.07	0.12	37.93	96.77
YDR008C	YDR008C	12842.0	9.56	0.03	0.13	0.12	83.26	73.49
YDR009W	YDR009W	58126.7	6.97	-0.24	0.1	0.14	35.04	76.22
YDR010C	YDR010C	12700.0	9.6	-0.12	0.14	0.09	22.76	73.1
YDR011W	YDR011W	168770.1	7.67	-0.09	0.13	0.18	39.54	79.33
YDR012W	YDR012W	39096.8	11.33	-0.3	0.06	0.81	32.42	81.9
YDR013W	YDR013W	24197.8	4.82	-0.45	0.08	0.13	51.15	91.98
YDR014W	YDR014W	74708.4	5.6	-0.56	0.09	0.12	47.02	83.08
YDR014W-A	YDR014W-A	18275.3	10.68	-1.03	0.05	0.13	68.4	66.36
YDR015C	YDR015C	8891.4	7.04	0.39	0.11	0.12	53.42	101.92
YDR016C	YDR016C	10506.7	3.95	-0.46	0.05	0.1	63.18	90.04
YDR017C	YDR017C	119538.6	6.78	-0.87	0.07	0.14	49.16	64.57
YDR018C	YDR018C	45960.3	10.01	-0.06	0.14	0.14	26.13	89.83
YDR019C	YDR019C	44475.5	9.23	-0.29	0.09	0.14	35.85	84.93
YDR020C	YDR020C	26583.2	4.57	-0.45	0.07	0.14	40.33	94.21
YDR021W	YDR021W	45223.0	9.49	-0.25	0.07	0.17	35.85	90.68
YDR022C	YDR022C	22163.1	3.81	-0.67	0.06	0.14	35.26	84.18
YDR023W	YDR023W	53302.0	5.94	-0.65	0.1	0.39	41.0	73.78
YDR024W	YDR024W	18672.8	10.34	-0.36	0.11	0.07	47.56	67.82
YDR025W	YDR025W	17775.3	11.44	-0.46	0.1	0.7	53.32	68.73
YDR026C	YDR026C	66374.4	9.83	-1.0	0.07	0.15	47.19	63.03
YDR027C	YDR027C	101508.1	6.29	-0.45	0.08	0.12	45.16	86.75
YDR028C	YDR028C	112556.0	4.68	-1.11	0.06	0.15	49.87	54.58
YDR029W	YDR029W	12315.7	9.36	0.47	0.19	0.11	50.49	113.32
YDR030C	YDR030C	58229.2	6.92	-0.68	0.09	0.12	44.81	69.63
YDR031W	YDR031W	13864.3	5.28	-0.52	0.03	0.14	61.29	82.39
YDR032C	YDR032C	20959.8	5.55	-0.03	0.11	0.37	26.49	77.24
YDR033W	YDR033W	36205.0	9.53	0.25	0.16	0.51	30.59	82.02
YDR034C	YDR034C	89393.8	6.93	-0.54	0.08	0.13	38.6	77.88
YDR034C-A	YDR034C-A	6504.4	4.06	0.61	0.14	0.14	37.21	113.45
YDR034W-B	YDR034W-B	5968.2	7.94	-0.25	0.08	0.31	104.32	52.61
YDR035W	YDR035W	41070.5	7.44	-0.47	0.06	0.29	29.02	83.25
YDR036C	YDR036C	56294.0	8.5	-0.32	0.09	0.2	45.56	75.82
YDR037W	YDR037W	67946.3	6.01	-0.6	0.09	0.42	40.87	69.79
YDR038C	YDR038C	120270.2	5.19	-0.06	0.09	0.19	36.04	88.27
YDR039C	YDR039C	120291.3	5.19	-0.06	0.09	0.19	35.37	88.25
YDR040C	YDR040C	120330.4	5.24	-0.05	0.09	0.2	34.09	88.06
YDR041W	YDR041W	23430.2	9.71	-0.48	0.1	0.13	43.99	83.41
YDR042C	YDR042C	23262.1	10.57	-0.22	0.14	0.11	34.83	87.91
YDR043C	YDR043C	26750.3	8.97	-1.03	0.09	0.11	51.27	53.35
YDR044W	YDR044W	37707.9	6.8	-0.67	0.11	0.45	45.32	62.0
YDR045C	YDR045C	12509.3	4.62	-0.5	0.12	0.14	60.31	55.53
YDR046C	YDR046C	67369.6	8.28	0.23	0.13	0.16	33.93	88.97
YDR047W	YDR047W	41348.5	7.09	-0.18	0.11	0.16	37.25	81.98
YDR048C	YDR048C	12323.5	10.34	0.05	0.16	0.1	73.45	89.17
YDR049W	YDR049W	72745.4	9.43	-0.86	0.07	0.14	45.89	70.86
YDR050C	YDR050C	26792.7	5.81	-0.11	0.08	0.82	19.42	90.53
YDR051C	YDR051C	39171.6	7.37	-0.74	0.1	0.16	33.29	65.96
YDR052C	YDR052C	80714.3	9.89	-0.87	0.07	0.14	38.64	66.11
YDR053W	YDR053W	14752.7	7.7	1.01	0.16	0.12	35.47	115.59
YDR054C	YDR054C	34019.8	3.92	-0.96	0.09	0.19	61.98	59.47
YDR055W	YDR055W	45786.1	9.83	0.07	0.05	0.27	35.91	97.77
YDR056C	YDR056C	22761.0	4.48	-0.33	0.08	0.15	35.36	82.7
YDR057W	YDR057W	61216.9	4.23	-0.38	0.08	0.12	33.69	85.12
YDR058C	YDR058C	37505.6	8.52	-0.32	0.11	0.14	34.67	81.53
YDR059C	YDR059C	16279.7	6.77	-0.29	0.1	0.19	47.59	78.18
YDR060W	YDR060W	116623.2	4.63	-0.81	0.08	0.2	42.06	71.99
YDR061W	YDR061W	61189.0	7.02	-0.3	0.09	0.1	48.18	88.03
YDR062W	YDR062W	63116.6	8.19	-0.17	0.1	0.22	42.3	86.8
YDR063W	YDR063W	17117.5	4.19	-0.5	0.07	0.16	55.71	82.96
YDR064W	YDR064W	17045.2	11.04	-0.29	0.07	0.78	42.14	93.03
YDR065W	YDR065W	42864.9	10.41	-0.56	0.11	0.14	43.24	83.08
YDR066C	YDR066C	22529.9	4.67	-0.15	0.1	0.09	40.73	87.13
YDR067C	YDR067C	26032.6	9.32	-0.28	0.09	0.13	46.26	87.31
YDR068W	YDR068W	35926.1	4.2	-1.23	0.07	0.18	52.71	57.57
YDR069C	YDR069C	105200.9	8.27	-0.43	0.09	0.15	48.46	82.29
YDR070C	YDR070C	10850.5	10.32	-1.34	0.06	0.27	38.05	49.25
YDR071C	YDR071C	21941.6	5.64	-0.26	0.07	0.24	46.79	101.95
YDR072C	YDR072C	60874.6	8.0	0.15	0.17	0.14	39.79	86.21
YDR073W	YDR073W	18668.2	8.49	-0.38	0.04	0.07	43.93	99.55
YDR074W	YDR074W	102982.4	8.29	-0.52	0.1	0.24	39.36	77.19
YDR075W	YDR075W	35249.5	4.68	-0.2	0.11	0.13	16.95	85.84
YDR076W	YDR076W	46348.2	6.78	-0.36	0.09	0.11	51.8	86.13
YDR077W	YDR077W	34409.5	3.71	-0.31	0.04	0.52	36.23	54.12
YDR078C	YDR078C	26104.7	4.52	-0.09	0.13	0.12	30.95	95.04
YDR079C-A	YDR079C-A	8228.6	4.76	-0.36	0.03	0.12	44.66	102.24
YDR079W	YDR079W	13192.7	9.85	-0.6	0.12	0.1	29.38	77.21
YDR080W	YDR080W	113353.5	4.53	-0.38	0.09	0.15	39.24	88.3
YDR081C	YDR081C	103934.4	6.39	-0.59	0.08	0.13	43.44	75.25
YDR082W	YDR082W	57498.1	5.38	-0.35	0.11	0.12	34.52	86.62
YDR083W	YDR083W	46004.8	10.1	-0.88	0.09	0.19	48.42	65.49
YDR084C	YDR084C	23152.0	8.86	0.18	0.18	0.12	50.32	87.83
YDR085C	YDR085C	71373.9	9.05	-0.95	0.08	0.13	45.8	60.39
YDR086C	YDR086C	8948.8	10.05	0.01	0.07	0.44	16.73	103.52
YDR087C	YDR087C	33193.7	4.92	-0.8	0.12	0.16	40.9	74.12
YDR088C	YDR088C	44644.5	9.3	-1.42	0.06	0.16	41.32	53.45
YDR089W	YDR089W	98689.8	5.15	-0.28	0.08	0.13	48.36	94.84
YDR090C	YDR090C	34626.8	5.7	0.41	0.12	0.15	30.18	101.32
YDR091C	YDR091C	68353.2	8.88	-0.2	0.08	0.37	36.5	93.42
YDR092W	YDR092W	17464.1	5.05	-0.53	0.08	0.13	41.74	87.16
YDR093W	YDR093W	182601.4	6.04	-0.32	0.1	0.15	40.88	82.04
YDR094W	YDR094W	12870.0	8.49	-0.33	0.11	0.09	56.58	67.42
YDR095C	YDR095C	15202.9	10.95	-0.45	0.07	0.07	57.47	70.71
YDR096W	YDR096W	99482.5	7.58	-0.74	0.08	0.15	48.94	64.72
YDR097C	YDR097C	140058.8	5.56	-0.54	0.08	0.15	45.0	71.96
YDR098C	YDR098C	28233.4	4.1	-0.47	0.09	0.18	51.47	77.47
YDR099W	YDR099W	31045.5	4.54	-0.79	0.07	0.39	63.56	69.47
YDR100W	YDR100W	15875.5	4.13	0.86	0.17	0.14	31.46	120.85
YDR101C	YDR101C	65211.3	7.21	-0.23	0.06	0.24	40.64	93.18
YDR102C	YDR102C	12704.2	8.76	0.26	0.09	0.1	40.31	104.92
YDR103W	YDR103W	102700.2	5.1	-0.42	0.07	0.14	47.83	83.71
YDR104C	YDR104C	145217.1	9.54	-0.65	0.1	0.13	49.23	74.53
YDR105C	YDR105C	52222.5	5.15	0.38	0.13	0.11	32.16	95.11
YDR106W	YDR106W	33020.7	7.93	-0.11	0.11	0.12	59.07	96.18
YDR107C	YDR107C	76347.2	7.54	0.3	0.15	0.13	33.64	96.55
YDR108W	YDR108W	80485.6	6.38	-0.35	0.1	0.13	40.11	81.04
YDR109C	YDR109C	79158.0	6.77	-0.29	0.08	0.12	41.48	78.53
YDR110W	YDR110W	65309.2	6.1	-0.76	0.09	0.13	47.76	68.23
YDR111C	YDR111C	56759.3	5.53	-0.3	0.08	0.16	37.18	85.6
YDR112W	YDR112W	11200.5	9.29	0.82	0.18	0.12	37.86	92.59
YDR113C	YDR113C	41819.5	4.6	-1.07	0.04	0.13	59.75	71.49
YDR114C	YDR114C	11970.5	9.72	0.66	0.19	0.1	46.27	95.39
YDR115W	YDR115W	12053.6	13.03	-0.51	0.1	0.12	78.07	66.99
YDR116C	YDR116C	31016.5	10.62	-0.23	0.06	0.12	44.12	86.86
YDR117C	YDR117C	64004.4	9.47	-0.42	0.08	0.18	27.91	82.51
YDR118W	YDR118W	75243.4	5.58	-0.25	0.11	0.11	35.3	94.11
YDR118W-A	YDR118W-A	4458.5	12.14	-0.48	0.11	0.11	64.46	54.08
YDR119W	YDR119W	85691.5	8.37	0.19	0.1	0.12	43.07	98.05
YDR119W-A	YDR119W-A	7458.9	11.48	0.14	0.15	0.18	48.4	79.19
YDR120C	YDR120C	64071.2	9.49	-0.54	0.08	0.15	48.01	72.96
YDR121W	YDR121W	21985.6	4.62	-0.88	0.04	0.12	50.31	76.01
YDR122W	YDR122W	120082.4	9.12	-0.7	0.07	0.13	53.44	66.97
YDR123C	YDR123C	34220.5	6.22	-0.74	0.05	0.12	54.03	72.34
YDR124W	YDR124W	37606.1	8.18	-0.43	0.09	0.09	51.59	85.32
YDR125C	YDR125C	53207.4	9.98	-0.4	0.13	0.13	50.73	78.59
YDR126W	YDR126W	39312.2	7.41	0.18	0.15	0.11	48.42	97.43
YDR127W	YDR127W	174730.6	6.22	-0.12	0.08	0.22	32.21	89.8
YDR128W	YDR128W	130919.7	5.76	-0.59	0.11	0.12	44.13	68.68
YDR129C	YDR129C	71755.3	5.13	-0.28	0.07	0.23	38.09	96.12
YDR130C	YDR130C	33202.6	10.58	-0.87	0.03	0.09	67.53	76.4
YDR131C	YDR131C	65241.6	7.09	-0.27	0.13	0.13	43.26	85.14
YDR132C	YDR132C	57194.7	7.43	-0.44	0.12	0.13	50.34	81.3
YDR133C	YDR133C	12891.9	10.63	0.32	0.09	0.05	52.62	124.67
YDR135C	YDR135C	171136.0	8.57	0.06	0.1	0.15	35.88	100.17
YDR136C	YDR136C	22828.5	10.44	0.07	0.15	0.08	37.79	92.09
YDR137W	YDR137W	75305.0	5.61	-0.46	0.08	0.11	37.94	80.94
YDR138W	YDR138W	87807.3	4.92	-0.72	0.11	0.16	49.41	70.77
YDR139C	YDR139C	8691.2	6.25	-0.2	0.03	0.11	25.08	115.37
YDR140W	YDR140W	24965.9	4.72	-0.1	0.09	0.12	34.86	96.04
YDR141C	YDR141C	194655.9	5.4	-0.07	0.1	0.13	42.47	104.87
YDR142C	YDR142C	42327.4	8.47	-0.28	0.12	0.11	28.64	76.18
YDR143C	YDR143C	65596.9	4.84	-1.03	0.04	0.15	46.62	50.71
YDR144C	YDR144C	64242.5	4.34	-0.16	0.1	0.14	30.24	75.51
YDR145W	YDR145W	61089.7	10.15	-1.11	0.05	0.12	54.9	58.81
YDR146C	YDR146C	79786.3	9.01	-0.91	0.06	0.14	56.61	63.49
YDR147W	YDR147W	61643.5	5.64	-0.49	0.1	0.13	46.58	78.69
YDR148C	YDR148C	50436.3	9.44	-0.38	0.05	0.24	37.06	77.02
YDR149C	YDR149C	27056.6	6.24	0.53	0.17	0.14	40.85	99.33
YDR150W	YDR150W	312912.2	5.07	-0.71	0.07	0.16	39.61	78.61
YDR151C	YDR151C	36780.9	8.85	-0.81	0.08	0.12	46.46	65.8
YDR152W	YDR152W	30999.7	4.22	-0.89	0.08	0.18	35.15	71.75
YDR153C	YDR153C	47318.1	6.43	-1.01	0.07	0.16	45.39	66.64
YDR154C	YDR154C	13185.6	9.52	-0.04	0.09	0.1	67.53	82.5
YDR155C	YDR155C	17390.9	7.57	-0.24	0.11	0.61	18.93	66.95
YDR156W	YDR156W	14581.3	4.84	-0.38	0.04	0.15	33.45	75.1
YDR157W	YDR157W	15513.2	8.76	0.09	0.17	0.14	50.34	69.52
YDR158W	YDR158W	39541.1	6.71	-0.04	0.05	0.43	38.91	98.84
YDR159W	YDR159W	149591.6	9.28	-0.65	0.08	0.14	51.61	75.59
YDR160W	YDR160W	95755.3	9.03	-0.04	0.13	0.11	38.85	84.66
YDR161W	YDR161W	42905.6	4.0	-0.27	0.07	0.12	44.11	94.51
YDR162C	YDR162C	26532.5	3.77	-0.84	0.08	0.11	41.03	66.31
YDR163W	YDR163W	19939.5	9.6	-1.28	0.05	0.09	50.4	50.14
YDR164C	YDR164C	83479.1	7.32	-0.43	0.1	0.16	44.3	87.09
YDR165W	YDR165W	50483.5	6.7	-0.44	0.1	0.19	41.14	81.62
YDR166C	YDR166C	112109.3	5.58	-0.41	0.1	0.16	43.97	89.31
YDR167W	YDR167W	23004.4	4.21	-0.75	0.07	0.1	42.9	66.15
YDR168W	YDR168W	58354.4	4.68	-0.75	0.07	0.2	44.19	75.63
YDR169C	YDR169C	56263.9	7.55	-0.81	0.04	0.11	59.11	64.92
YDR169C-A	YDR169C-A	5597.8	12.64	-0.61	0.04	0.16	72.84	54.98
YDR170C	YDR170C	226761.4	4.42	-0.42	0.08	0.19	46.41	82.34
YDR171W	YDR171W	42794.3	4.73	-1.13	0.09	0.18	57.37	55.13
YDR172W	YDR172W	76548.8	7.0	-0.8	0.08	0.32	41.33	61.4
YDR173C	YDR173C	40326.2	4.33	-0.64	0.08	0.11	40.45	78.29
YDR174W	YDR174W	27546.3	9.11	-0.93	0.06	0.31	45.8	67.35
YDR175C	YDR175C	37401.9	9.68	-0.88	0.09	0.14	50.33	68.05
YDR176W	YDR176W	79257.9	4.75	-1.01	0.05	0.13	42.29	67.8
YDR177W	YDR177W	24168.5	4.88	-0.46	0.07	0.16	53.39	83.49
YDR178W	YDR178W	20252.8	9.22	-0.04	0.12	0.19	48.9	74.96
YDR179C	YDR179C	19468.5	4.77	-0.58	0.09	0.11	59.83	86.66
YDR179W-A	YDR179W-A	53739.7	8.71	-0.17	0.11	0.13	39.1	91.0
YDR180W	YDR180W	171093.1	6.83	-0.13	0.09	0.14	44.23	102.98
YDR181C	YDR181C	55429.4	10.12	-0.85	0.04	0.13	53.38	71.8
YDR182W	YDR182W	57167.0	9.85	-0.47	0.13	0.12	44.51	69.82
YDR182W-A	YDR182W-A	7679.2	9.85	0.24	0.15	0.16	13.28	98.87
YDR183C-A	YDR183C-A	10583.6	10.12	0.0	0.28	0.15	48.2	63.7
YDR183W	YDR183W	26609.9	4.8	-0.74	0.08	0.13	33.49	75.54
YDR184C	YDR184C	33106.4	6.13	-0.79	0.03	0.16	34.91	78.87
YDR185C	YDR185C	20929.4	10.03	-0.5	0.11	0.12	36.08	67.9
YDR186C	YDR186C	98307.9	4.99	-0.82	0.07	0.13	44.05	67.7
YDR187C	YDR187C	18449.8	8.69	0.49	0.08	0.09	45.87	101.85
YDR188W	YDR188W	59915.4	5.59	-0.17	0.05	0.18	37.17	97.57
YDR189W	YDR189W	74661.1	4.84	-0.33	0.08	0.19	36.81	91.6
YDR190C	YDR190C	50446.6	5.62	-0.12	0.04	0.19	42.1	102.45
YDR191W	YDR191W	41780.0	9.57	-0.37	0.07	0.12	35.49	83.65
YDR192C	YDR192C	42786.8	10.74	-0.41	0.09	0.09	37.68	39.47
YDR193W	YDR193W	13743.7	4.57	0.99	0.05	0.08	29.76	148.62
YDR194C	YDR194C	76282.6	9.43	-0.6	0.08	0.2	51.49	79.39
YDR194W-A	YDR194W-A	6131.3	8.47	0.02	0.16	0.07	58.16	85.02
YDR195W	YDR195W	59848.6	10.3	-0.71	0.05	0.15	40.44	78.67
YDR196C	YDR196C	27344.1	8.81	-0.19	0.07	0.12	44.93	95.42
YDR197W	YDR197W	44625.2	10.05	-0.29	0.09	0.13	41.33	94.09
YDR198C	YDR198C	55930.9	5.01	-0.26	0.13	0.12	44.59	92.76
YDR199W	YDR199W	13392.0	7.66	0.89	0.14	0.1	38.9	112.1
YDR200C	YDR200C	67283.5	7.5	-0.72	0.04	0.12	48.5	77.18
YDR201W	YDR201W	18900.7	4.49	-0.74	0.02	0.16	47.33	84.74
YDR202C	YDR202C	40013.6	6.26	-0.2	0.07	0.14	46.25	90.86
YDR203W	YDR203W	11604.7	6.49	0.64	0.1	0.08	35.1	122.74
YDR204W	YDR204W	38643.8	10.13	-0.35	0.08	0.12	49.83	89.24
YDR205W	YDR205W	80578.2	7.83	0.34	0.1	0.12	34.38	111.62
YDR206W	YDR206W	100015.0	9.4	-0.37	0.11	0.12	46.66	75.01
YDR207C	YDR207C	91154.5	10.11	-1.06	0.05	0.14	55.59	49.2
YDR208W	YDR208W	89341.7	9.77	-0.8	0.08	0.14	47.29	68.35
YDR209C	YDR209C	15411.8	4.4	0.38	0.1	0.15	26.77	118.92
YDR210W	YDR210W	8567.7	3.95	-1.0	0.12	0.29	100.59	40.97
YDR211W	YDR211W	81114.8	4.41	-0.4	0.08	0.2	47.15	84.42
YDR212W	YDR212W	60476.4	6.44	-0.04	0.04	0.24	40.27	103.36
YDR213W	YDR213W	100324.8	5.86	-0.53	0.06	0.12	54.99	74.56
YDR214W	YDR214W	39435.8	7.59	-0.5	0.11	0.17	36.2	71.08
YDR215C	YDR215C	15190.8	11.54	-0.3	0.07	0.11	55.33	70.09
YDR216W	YDR216W	150928.6	6.71	-0.5	0.1	0.15	40.29	76.45
YDR217C	YDR217C	148357.0	4.96	-0.74	0.07	0.12	49.96	74.19
YDR218C	YDR218C	48184.7	5.71	-0.66	0.07	0.14	36.98	83.84
YDR219C	YDR219C	53174.8	9.16	-0.73	0.06	0.11	46.17	75.31
YDR220C	YDR220C	11179.2	9.7	0.19	0.18	0.11	39.85	89.03
YDR221W	YDR221W	79868.0	4.5	-0.56	0.09	0.15	39.83	77.83
YDR222W	YDR222W	47419.5	8.5	-0.38	0.12	0.18	31.73	75.23
YDR223W	YDR223W	51668.8	4.58	-0.82	0.06	0.1	48.16	65.07
YDR224C	YDR224C	14267.6	10.78	-0.7	0.05	0.66	37.17	62.35
YDR225W	YDR225W	14002.5	11.34	-0.32	0.03	0.65	53.03	97.6
YDR226W	YDR226W	24252.0	6.37	-0.43	0.05	0.53	34.04	83.81
YDR227W	YDR227W	152084.6	9.63	-0.88	0.05	0.14	46.72	67.94
YDR228C	YDR228C	71901.0	7.93	-0.71	0.08	0.17	45.04	78.03
YDR229W	YDR229W	49953.0	4.65	-0.87	0.05	0.11	47.62	67.42
YDR230W	YDR230W	12909.0	10.01	-0.02	0.15	0.1	79.38	68.5
YDR231C	YDR231C	23766.3	10.11	-0.83	0.11	0.11	47.91	57.3
YDR232W	YDR232W	59362.0	7.56	-0.19	0.07	0.21	32.22	84.71
YDR233C	YDR233C	32923.3	9.45	-0.16	0.1	0.4	43.29	82.75
YDR234W	YDR234W	75150.5	7.41	-0.21	0.07	0.2	39.25	88.99
YDR235W	YDR235W	65149.7	8.18	-0.31	0.15	0.13	40.88	86.99
YDR236C	YDR236C	24530.2	4.84	-0.06	0.11	0.14	31.09	92.98
YDR237W	YDR237W	33114.5	10.3	-0.52	0.09	0.17	41.39	75.81
YDR238C	YDR238C	108995.3	5.33	-0.11	0.06	0.22	39.76	101.39
YDR239C	YDR239C	86424.5	6.53	-0.91	0.05	0.12	49.22	63.05
YDR240C	YDR240C	56517.2	9.73	-0.56	0.1	0.12	54.22	74.09
YDR241W	YDR241W	11244.7	10.42	0.1	0.09	0.09	50.8	101.47
YDR242W	YDR242W	61397.7	5.07	-0.2	0.09	0.13	35.57	87.5
YDR243C	YDR243C	66648.1	9.16	-0.48	0.07	0.16	37.39	84.7
